idx1,idx2,similarity,nama_1,nama_2,final_score,predicted_label,budget_diff,kl_diff,satker_diff,lokasi_diff
807,1354,1.0,Belanja Perjalanan Dinas Biasa - UPTD III,Belanja Perjalanan Dinas Biasa - UPTD III,1.0,mirip,0.7461102792786928,0,0,0
830,989,1.0,Belanja Perjalanan Dinas Biasa - UPTD V,Belanja Perjalanan Dinas Biasa - UPTD I,1.0,mirip,0.519786508355572,0,0,1
830,1002,1.0,Belanja Perjalanan Dinas Biasa - UPTD V,Belanja Perjalanan Dinas Biasa - UPTD I,1.0,mirip,0.519786508355572,0,0,1
860,1247,1.0,Belanja Perjalanan Dinas Biasa - Dinas,Belanja Perjalanan Dinas Biasa - Dinas,1.0,mirip,0.7314426350756832,0,0,0
885,1007,1.0,Belanja Perjalanan Dinas Biasa (UPT Larona),Belanja Perjalanan Dinas Biasa (UPT Larona),1.0,mirip,0.5453758072117283,0,0,0
886,1007,1.0,Belanja Perjalanan Dinas Biasa (UPT Larona),Belanja Perjalanan Dinas Biasa (UPT Larona),1.0,mirip,0.5820904077135688,0,0,0
919,1281,0.8226210848565879,"Belanja Perjalanan Dinas Biasa Dalam Rangka Koordinasi, Identifikasi, Verifikasi, Monitoring dan Kedinasan Lainnya (Bidang PSP)","Belanja Perjalanan Dinas Biasa Koordinasi, Identifikasi, Verifikasi, Monitoring dan Kedinasan Lainnya",0.8935726509139528,mirip,0.8691376172786484,0,0,0
923,1281,0.8226210848565879,"Belanja Perjalanan Dinas Biasa Dalam Rangka Koordinasi, Identifikasi, Verifikasi, Monitoring dan Kedinasan Lainnya (Bidang PSP)","Belanja Perjalanan Dinas Biasa Koordinasi, Identifikasi, Verifikasi, Monitoring dan Kedinasan Lainnya",0.8935726509139528,mirip,0.7505417288389248,0,0,0
924,1281,0.8226210848565879,"Belanja Perjalanan Dinas Biasa Dalam Rangka Koordinasi, Identifikasi, Verifikasi, Monitoring dan Kedinasan Lainnya (Bidang PSP)","Belanja Perjalanan Dinas Biasa Koordinasi, Identifikasi, Verifikasi, Monitoring dan Kedinasan Lainnya",0.8935726509139528,mirip,0.840114057498085,0,0,0
931,1222,1.0,Belanja Perjalanan Dinas Biasa  (UPT Jeneberang),Belanja Perjalanan Dinas Biasa (UPT Jeneberang),1.0,mirip,0.6692280401166464,0,0,0
932,1288,1.0,Belanja Perjalanan Dinas Biasa (UPT Saddang),Belanja Perjalanan Dinas Biasa (UPT Saddang),1.0,mirip,0.5973984011006764,0,0,0
982,1038,0.9098873660067834,Belanja Perjalanan Dinas Biasa Pelabuhan Wilayah 1 dan Wilayah 2,Belanja Perjalanan Dinas Biasa UPT Pelabuhan Wilayah 1 dan Pelabuhan Wilayah 2,0.94593241960407,mirip,0.7684352517985612,0,0,1
989,1031,1.0,Belanja Perjalanan Dinas Biasa - UPTD I,Belanja Perjalanan Dinas Biasa - UPTD V,1.0,mirip,0.5929958757295963,0,0,1
990,1355,1.0,Belanja Perjalanan Dinas Biasa - UPTD VI,Belanja Perjalanan Dinas Biasa - UPTD VI,1.0,mirip,0.5824237928131434,0,0,0
1002,1031,1.0,Belanja Perjalanan Dinas Biasa - UPTD I,Belanja Perjalanan Dinas Biasa - UPTD V,1.0,mirip,0.5929958757295963,0,0,1
1003,1355,1.0,Belanja Perjalanan Dinas Biasa - UPTD VI,Belanja Perjalanan Dinas Biasa - UPTD VI,1.0,mirip,0.5824237928131434,0,0,0
1030,1354,1.0,Belanja Perjalanan Dinas Biasa - UPTD III,Belanja Perjalanan Dinas Biasa - UPTD III,1.0,mirip,0.7940278327232302,0,0,0
1060,1061,0.8931243063031689,Belanja Perjalanan Dinas Biasa (Eselon II Dalam Daerah (Jauh),Belanja Perjalanan Dinas Biasa (Eselon II Luar Daerah - Jauh),0.9358745837819014,mirip,0.5952320659841551,0,0,1
1066,715,1.0,Belanja Perjalanan Dinas Biasa (UPT Walcen),Belanja Perjalanan Dinas Biasa (UPT Walcen),1.0,mirip,0.8582929112839769,0,0,0
1067,676,1.0,Belanja Perjalanan Dinas Biasa (UPT Saddang),Belanja Perjalanan Dinas Biasa (UPT Saddang),1.0,mirip,0.7751965038043136,0,0,0
1067,677,1.0,Belanja Perjalanan Dinas Biasa (UPT Saddang),Belanja Perjalanan Dinas Biasa (UPT Saddang),1.0,mirip,0.7089131620536776,0,0,0
1068,932,1.0,Belanja Perjalanan Dinas Biasa (UPT Saddang),Belanja Perjalanan Dinas Biasa (UPT Saddang),1.0,mirip,0.7157743488841712,0,0,0
1068,1287,1.0,Belanja Perjalanan Dinas Biasa (UPT Saddang),Belanja Perjalanan Dinas Biasa (UPT Saddang),1.0,mirip,0.7903426017874876,0,0,0
